"elapsedTime","questionType","question","expectedAnswer","Answer","isCorrect"
696,1,"m m",true,true,true
577,1,"f f",true,true,true
633,1,"P l",false,false,true
635,1,"L L",true,false,false
709,1,"p G",false,false,true
558,1,"n T",false,false,true
630,1,"B f",false,false,true
605,1,"n P",false,false,true
580,1,"L t",false,false,true
768,1,"A R",false,false,true
561,1,"G G",true,true,true
694,1,"g g",true,true,true
904,1,"q E",false,false,true
630,1,"P R",false,false,true
663,1,"Q a",false,true,false
749,1,"a a",true,true,true
603,1,"l D",false,false,true
758,1,"d d",true,true,true
719,1,"R R",true,true,true
780,1,"R A",false,false,true
812,1,"E E",true,true,true
695,1,"F l",false,false,true
1134,1,"m m",true,true,true
580,1,"t p",false,false,true
693,1,"r r",true,true,true
603,1,"m m",true,true,true
620,1,"t e",false,false,true
617,1,"P P",true,false,false
657,1,"N h",false,false,true
618,1,"H H",true,true,true
604,1,"N N",true,true,true
643,1,"R R",true,true,true
579,1,"n n",true,true,true
634,1,"e l",false,false,true
688,1,"D D",true,true,true
652,1,"Q Q",true,true,true
821,1,"B m",false,false,true
645,1,"d E",false,false,true
715,1,"m p",false,false,true
722,1,"q q",true,true,true
836,1,"n n",true,true,true
